f(0.01,0): -0.01
f(0.02,-0.01): -0.019998
f(0.03,-0.019998): -0.02999
f(0.04,-0.02999): -0.039972
f(0.05,-0.039972): -0.04994
f(0.06,-0.04994): -0.0598901
f(0.07,-0.0598901): -0.0698182
f(0.08,-0.0698182): -0.0797205
f(0.09,-0.0797205): -0.0895929
f(0.1,-0.0895929): -0.0994317
f(0.11,-0.0994317): -0.109233
f(0.12,-0.109233): -0.118992
f(0.13,-0.118992): -0.128707
f(0.14,-0.128707): -0.138372
f(0.15,-0.138372): -0.147985
f(0.16,-0.147985): -0.157541
f(0.17,-0.157541): -0.167037
f(0.18,-0.167037): -0.176469
f(0.19,-0.176469): -0.185833
f(0.2,-0.185833): -0.195127
f(0.21,-0.195127): -0.204346
f(0.22,-0.204346): -0.213487
f(0.23,-0.213487): -0.222548
f(0.24,-0.222548): -0.231523
f(0.25,-0.231523): -0.240411
f(0.26,-0.240411): -0.249208
f(0.27,-0.249208): -0.257911
f(0.28,-0.257911): -0.266517
f(0.29,-0.266517): -0.275023
f(0.3,-0.275023): -0.283426
f(0.31,-0.283426): -0.291722
f(0.32,-0.291722): -0.29991
f(0.33,-0.29991): -0.307987
f(0.34,-0.307987): -0.315949
f(0.35,-0.315949): -0.323795
f(0.36,-0.323795): -0.331522
f(0.37,-0.331522): -0.339126
f(0.38,-0.339126): -0.346607
f(0.39,-0.346607): -0.353962
f(0.4,-0.353962): -0.361188
f(0.41,-0.361188): -0.368284
f(0.42,-0.368284): -0.375246
f(0.43,-0.375246): -0.382074
f(0.44,-0.382074): -0.388765
f(0.45,-0.388765): -0.395318
f(0.46,-0.395318): -0.40173
f(0.47,-0.40173): -0.408
f(0.48,-0.408): -0.414127
f(0.49,-0.414127): -0.420108
f(0.5,-0.420108): -0.425942
f(0.51,-0.425942): -0.431627
f(0.52,-0.431627): -0.437163
f(0.53,-0.437163): -0.442548
f(0.54,-0.442548): -0.447781
f(0.55,-0.447781): -0.45286
f(0.56,-0.45286): -0.457784
f(0.57,-0.457784): -0.462552
f(0.58,-0.462552): -0.467164
f(0.59,-0.467164): -0.471617
f(0.6,-0.471617): -0.475912
f(0.61,-0.475912): -0.480047
f(0.62,-0.480047): -0.484022
f(0.63,-0.484022): -0.487835
f(0.64,-0.487835): -0.491486
f(0.65,-0.491486): -0.494975
f(0.66,-0.494975): -0.4983
f(0.67,-0.4983): -0.501461
f(0.68,-0.501461): -0.504457
f(0.69,-0.504457): -0.507288
f(0.7,-0.507288): -0.509954
f(0.71,-0.509954): -0.512453
f(0.72,-0.512453): -0.514786
f(0.73,-0.514786): -0.516952
f(0.74,-0.516952): -0.518951
f(0.75,-0.518951): -0.520782
f(0.76,-0.520782): -0.522444
f(0.77,-0.522444): -0.523939
f(0.78,-0.523939): -0.525265
f(0.79,-0.525265): -0.526422
f(0.8,-0.526422): -0.52741
f(0.81,-0.52741): -0.528228
f(0.82,-0.528228): -0.528877
f(0.83,-0.528877): -0.529356
f(0.84,-0.529356): -0.529664
f(0.85,-0.529664): -0.529803
f(0.86,-0.529803): -0.529771
f(0.87,-0.529771): -0.529569
f(0.88,-0.529569): -0.529195
f(0.89,-0.529195): -0.528651
f(0.9,-0.528651): -0.527935
f(0.91,-0.527935): -0.527048
f(0.92,-0.527048): -0.525989
f(0.93,-0.525989): -0.524758
f(0.94,-0.524758): -0.523356
f(0.95,-0.523356): -0.521781
f(0.96,-0.521781): -0.520033
f(0.97,-0.520033): -0.518113
f(0.98,-0.518113): -0.516019
f(0.99,-0.516019): -0.513753
f(1,-0.513753): -0.511312
f(1.01,-0.511312): -0.508698
f(1.02,-0.508698): -0.505909
f(1.03,-0.505909): -0.502946
f(1.04,-0.502946): -0.499807
f(1.05,-0.499807): -0.496493
f(1.06,-0.496493): -0.493003
f(1.07,-0.493003): -0.489336
f(1.08,-0.489336): -0.485493
f(1.09,-0.485493): -0.481472
f(1.1,-0.481472): -0.477273
f(1.11,-0.477273): -0.472895
f(1.12,-0.472895): -0.468337
f(1.13,-0.468337): -0.4636
f(1.14,-0.4636): -0.458682
f(1.15,-0.458682): -0.453582
f(1.16,-0.453582): -0.4483
f(1.17,-0.4483): -0.442834
f(1.18,-0.442834): -0.437184
f(1.19,-0.437184): -0.431349
f(1.2,-0.431349): -0.425327
f(1.21,-0.425327): -0.419118
f(1.22,-0.419118): -0.41272
f(1.23,-0.41272): -0.406133
f(1.24,-0.406133): -0.399354
f(1.25,-0.399354): -0.392384
f(1.26,-0.392384): -0.385219
f(1.27,-0.385219): -0.377859
f(1.28,-0.377859): -0.370302
f(1.29,-0.370302): -0.362547
f(1.3,-0.362547): -0.354592
f(1.31,-0.354592): -0.346434
f(1.32,-0.346434): -0.338073
f(1.33,-0.338073): -0.329506
f(1.34,-0.329506): -0.320731
f(1.35,-0.320731): -0.311747
f(1.36,-0.311747): -0.30255
f(1.37,-0.30255): -0.293139
f(1.38,-0.293139): -0.28351
f(1.39,-0.28351): -0.273662
f(1.4,-0.273662): -0.263593
f(1.41,-0.263593): -0.253298
f(1.42,-0.253298): -0.242775
f(1.43,-0.242775): -0.232022
f(1.44,-0.232022): -0.221034
f(1.45,-0.221034): -0.20981
f(1.46,-0.20981): -0.198345
f(1.47,-0.198345): -0.186635
f(1.48,-0.186635): -0.174678
f(1.49,-0.174678): -0.162469
f(1.5,-0.162469): -0.150004
f(1.51,-0.150004): -0.137279
f(1.52,-0.137279): -0.124289
f(1.53,-0.124289): -0.111031
f(1.54,-0.111031): -0.0974986
f(1.55,-0.0974986): -0.0836875
f(1.56,-0.0836875): -0.0695925
f(1.57,-0.0695925): -0.0552081
f(1.58,-0.0552081): -0.0405286
f(1.59,-0.0405286): -0.0255481
f(1.6,-0.0255481): -0.0102606
f(1.61,-0.0102606): 0.00534043
f(1.62,0.00534043): 0.0212617
f(1.63,0.0212617): 0.0375102
f(1.64,0.0375102): 0.0540933
f(1.65,0.0540933): 0.0710186
f(1.66,0.0710186): 0.088294
f(1.67,0.088294): 0.105928
f(1.68,0.105928): 0.123929
f(1.69,0.123929): 0.142307
f(1.7,0.142307): 0.16107
f(1.71,0.16107): 0.18023
f(1.72,0.18023): 0.199796
f(1.73,0.199796): 0.219779
f(1.74,0.219779): 0.240191
f(1.75,0.240191): 0.261044
f(1.76,0.261044): 0.28235
f(1.77,0.28235): 0.304123
f(1.78,0.304123): 0.326377
f(1.79,0.326377): 0.349126
f(1.8,0.349126): 0.372386
f(1.81,0.372386): 0.396173
f(1.82,0.396173): 0.420504
f(1.83,0.420504): 0.445396
f(1.84,0.445396): 0.470869
f(1.85,0.470869): 0.496942
f(1.86,0.496942): 0.523636
f(1.87,0.523636): 0.550974
f(1.88,0.550974): 0.578979
f(1.89,0.578979): 0.607675
f(1.9,0.607675): 0.637089
f(1.91,0.637089): 0.667248
f(1.92,0.667248): 0.698181
f(1.93,0.698181): 0.729919
f(1.94,0.729919): 0.762496
f(1.95,0.762496): 0.795946
f(1.96,0.795946): 0.830307
f(1.97,0.830307): 0.865617
f(1.98,0.865617): 0.901919
f(1.99,0.901919): 0.939257
f(2,0.939257): 0.97768
Using Euler's method to approximate the solution to dy/dx = x^2 + y^2 - 1
Approximate value of y at x = 2 is 0.97768
